Incorrect:

Errors:

Does not match convention:
('exa*metre*mole', 'Emmol')
('yotta*metre*steradian', 'Y*m*sr')
('yotta*metre*steradian', 'Y m sr')
('yotta*metre*steradian', 'Ymsr')
('zetta*metre*steradian', 'Z*m*sr')
('zetta*metre*steradian', 'Z m sr')
('zetta*metre*steradian', 'Zmsr')
('hecto*metre*steradian', 'h*m*sr')
('hecto*metre*steradian', 'h m sr')
('hecto*metre*steradian', 'hmsr')
('centi*metre*steradian', 'c*m*sr')
('centi*metre*steradian', 'c m sr')
('centi*metre*steradian', 'cmsr')
('milli*metre*steradian', 'm*m*sr')
('milli*metre*steradian', 'm m sr')
('milli*metre*steradian', 'mmsr')
('micro*metre*steradian', 'mu*m*sr')
('micro*metre*steradian', 'mu m sr')
('micro*metre*steradian', 'mumsr')
('femto*metre*steradian', 'f*m*sr')
('femto*metre*steradian', 'f m sr')
('femto*metre*steradian', 'fmsr')
('zepto*metre*steradian', 'z*m*sr')
('zepto*metre*steradian', 'z m sr')
('zepto*metre*steradian', 'zmsr')
('yocto*metre*steradian', 'y*m*sr')
('yocto*metre*steradian', 'y m sr')
('yocto*metre*steradian', 'ymsr')
('peta*metre*steradian', 'P*m*sr')
('peta*metre*steradian', 'P m sr')
('peta*metre*steradian', 'Pmsr')
('tera*metre*steradian', 'T*m*sr')
('tera*metre*steradian', 'T m sr')
('tera*metre*steradian', 'Tmsr')
('giga*metre*steradian', 'G*m*sr')
('giga*metre*steradian', 'G m sr')
('giga*metre*steradian', 'Gmsr')
('mega*metre*steradian', 'M*m*sr')
('mega*metre*steradian', 'M m sr')
('mega*metre*steradian', 'Mmsr')
('kilo*metre*steradian', 'k*m*sr')
('kilo*metre*steradian', 'k m sr')
('kilo*metre*steradian', 'kmsr')
('deka*metre*steradian', 'da*m*sr')
('deka*metre*steradian', 'da m sr')
('deka*metre*steradian', 'damsr')
('deci*metre*steradian', 'd*m*sr')
('deci*metre*steradian', 'd m sr')
('deci*metre*steradian', 'dmsr')
('nano*metre*steradian', 'n*m*sr')
('nano*metre*steradian', 'n m sr')
('nano*metre*steradian', 'nmsr')
('pico*metre*steradian', 'p*m*sr')
('pico*metre*steradian', 'p m sr')
('pico*metre*steradian', 'pmsr')
('atto*metre*steradian', 'a*m*sr')
('atto*metre*steradian', 'a m sr')
('atto*metre*steradian', 'amsr')
('exa*metre*steradian', 'E*m*sr')
('exa*metre*steradian', 'E m sr')
('exa*metre*steradian', 'Emsr')
('yotta*metre*becquerel', 'Y*m*Bq')
('yotta*metre*becquerel', 'Y m Bq')
('yotta*metre*becquerel', 'YmBq')
('zetta*metre*becquerel', 'Z*m*Bq')
('zetta*metre*becquerel', 'Z m Bq')
('zetta*metre*becquerel', 'ZmBq')
('hecto*metre*becquerel', 'h*m*Bq')
('hecto*metre*becquerel', 'h m Bq')
('hecto*metre*becquerel', 'hmBq')
('centi*metre*becquerel', 'c*m*Bq')
('centi*metre*becquerel', 'c m Bq')
('centi*metre*becquerel', 'cmBq')
('milli*metre*becquerel', 'm*m*Bq')
('milli*metre*becquerel', 'm m Bq')
('milli*metre*becquerel', 'mmBq')
('micro*metre*becquerel', 'mu*m*Bq')
('micro*metre*becquerel', 'mu m Bq')
('micro*metre*becquerel', 'mumBq')
('femto*metre*becquerel', 'f*m*Bq')
('femto*metre*becquerel', 'f m Bq')
('femto*metre*becquerel', 'fmBq')
('zepto*metre*becquerel', 'z*m*Bq')
('zepto*metre*becquerel', 'z m Bq')
('zepto*metre*becquerel', 'zmBq')
('yocto*metre*becquerel', 'y*m*Bq')
('yocto*metre*becquerel', 'y m Bq')
('yocto*metre*becquerel', 'ymBq')
